scenario,family,capture_type,source_file,binary_label,duration,id.orig_p,id.resp_p,orig_bytes,resp_bytes,orig_pkts,resp_pkts,orig_ip_bytes,resp_ip_bytes,missed_bytes,proto,service,conn_state,history,orig_is_private,resp_is_private,resp_is_public,total_bytes,byte_ratio,total_pkts,pkt_ratio,bytes_per_second
CTU-IoT-Malware-Capture-34-1,Mirai,malicious,CTU-IoT-Malware-Capture-34-1.conn.log.labeled,Malicious,,54290,6667,,,1,0,60,0,0,tcp,,S0,S,1.0,0.0,1.0,0.0,,1,1.0,
CTU-IoT-Malware-Capture-3-1,Muhstik,malicious,CTU-IoT-Malware-Capture-3-1.conn.log.labeled,Malicious,,60262,22,,,1,0,60,0,0,tcp,,S0,S,1.0,0.0,1.0,0.0,,1,1.0,
CTU-IoT-Malware-Capture-8-1,Hakai,malicious,CTU-IoT-Malware-Capture-8-1.conn.log.labeled,Malicious,,37252,50,,,1,0,60,0,0,tcp,,S0,S,1.0,0.0,1.0,0.0,,1,1.0,
CTU-IoT-Malware-Capture-20-1,Torii,malicious,CTU-IoT-Malware-Capture-20-1.conn.log.labeled,Benign,0.018988,123,123,48.0,48.0,1,1,76,76,0,udp,,SF,Dd,1.0,0.0,1.0,96.0,0.9795918367346939,2,0.5,5055.558481225972
CTU-IoT-Malware-Capture-3-1,Muhstik,malicious,CTU-IoT-Malware-Capture-3-1.conn.log.labeled,Benign,,11,0,,,1,0,56,0,0,icmp,,OTH,,0.0,1.0,0.0,0.0,,1,1.0,
CTU-IoT-Malware-Capture-8-1,Hakai,malicious,CTU-IoT-Malware-Capture-8-1.conn.log.labeled,Malicious,,36848,50,,,1,0,60,0,0,tcp,,S0,S,1.0,0.0,1.0,0.0,,1,1.0,
CTU-IoT-Malware-Capture-1-1,Hide-and-Seek,malicious,CTU-IoT-Malware-Capture-1-1.conn.log.labeled,Malicious,,40790,23,,,1,0,60,0,0,tcp,,S0,S,1.0,0.0,1.0,0.0,,1,1.0,
CTU-Honeypot-Capture-5-1,Amazon-Echo,benign,CTU-Honeypot-Capture-5-1.conn.log.labeled,Benign,0.125901,62608,53,38.0,54.0,1,1,66,82,0,udp,dns,SF,Dd,1.0,1.0,0.0,92.0,0.6909090909090909,2,0.5,730.7270734380708
CTU-IoT-Malware-Capture-34-1,Mirai,malicious,CTU-IoT-Malware-Capture-34-1.conn.log.labeled,Malicious,,65279,80,,,0,0,0,0,0,tcp,,OTH,C,1.0,0.0,1.0,0.0,,0,0.0,
CTU-IoT-Malware-Capture-3-1,Muhstik,malicious,CTU-IoT-Malware-Capture-3-1.conn.log.labeled,Benign,0.000115,61530,22,0.0,1.0,1,1,52,52,0,tcp,,OTH,^aA,1.0,1.0,0.0,1.0,0.0,2,0.5,8620.689655172413
CTU-Honeypot-Capture-4-1,Philips-HUE,benign,CTU-Honeypot-Capture-4-1.conn.log.labeled,Benign,0.269845,35296,123,48.0,48.0,1,1,76,76,0,udp,,SF,Dd,1.0,0.0,1.0,96.0,0.9795918367346939,2,0.5,355.75846964564977
CTU-IoT-Malware-Capture-60-1,Gagfyt,malicious,CTU-IoT-Malware-Capture-60-1.conn.log.labeled,Benign,,62336,989,,,0,0,0,0,0,tcp,,OTH,^c,0.0,1.0,0.0,0.0,,0,0.0,
CTU-IoT-Malware-Capture-1-1,Hide-and-Seek,malicious,CTU-IoT-Malware-Capture-1-1.conn.log.labeled,Malicious,,41092,23,,,1,0,60,0,0,tcp,,S0,S,1.0,1.0,0.0,0.0,,1,1.0,
CTU-IoT-Malware-Capture-60-1,Gagfyt,malicious,CTU-IoT-Malware-Capture-60-1.conn.log.labeled,Benign,,62336,22,,,0,0,0,0,0,tcp,,OTH,^c,0.0,1.0,0.0,0.0,,0,0.0,
CTU-IoT-Malware-Capture-8-1,Hakai,malicious,CTU-IoT-Malware-Capture-8-1.conn.log.labeled,Benign,0.005744,123,123,48.0,48.0,1,1,76,76,0,udp,,SF,Dd,1.0,0.0,1.0,96.0,0.9795918367346939,2,0.5,16710.18276762402
CTU-IoT-Malware-Capture-3-1,Muhstik,malicious,CTU-IoT-Malware-Capture-3-1.conn.log.labeled,Malicious,4.988843,35752,22,589.0,2603.0,16,16,1429,3443,0,tcp,ssh,SF,ShAdDaFf,1.0,0.0,1.0,3192.0,0.2261904761904762,32,0.9411764705882353,639.8275833038675
CTU-IoT-Malware-Capture-1-1,Hide-and-Seek,malicious,CTU-IoT-Malware-Capture-1-1.conn.log.labeled,Benign,,43763,36530,,,1,0,40,0,0,udp,,S0,D,1.0,0.0,1.0,0.0,,1,1.0,
CTU-IoT-Malware-Capture-3-1,Muhstik,malicious,CTU-IoT-Malware-Capture-3-1.conn.log.labeled,Malicious,,32833,59353,,,1,0,60,0,0,tcp,,S0,S,1.0,0.0,1.0,0.0,,1,1.0,
CTU-IoT-Malware-Capture-60-1,Gagfyt,malicious,CTU-IoT-Malware-Capture-60-1.conn.log.labeled,Benign,,62336,53,,,0,0,0,0,0,tcp,,OTH,^c,0.0,1.0,0.0,0.0,,0,0.0,
CTU-IoT-Malware-Capture-34-1,Mirai,malicious,CTU-IoT-Malware-Capture-34-1.conn.log.labeled,Benign,0.026223,123,123,48.0,48.0,1,1,76,76,0,udp,,SF,Dd,1.0,0.0,1.0,96.0,0.9795918367346939,2,0.5,3660.7687614399024
CTU-IoT-Malware-Capture-3-1,Muhstik,malicious,CTU-IoT-Malware-Capture-3-1.conn.log.labeled,Benign,0.456787,58852,22,0.0,0.0,1,1,60,40,0,tcp,,REJ,Sr,1.0,0.0,1.0,0.0,0.0,2,0.5,0.0
CTU-IoT-Malware-Capture-1-1,Hide-and-Seek,malicious,CTU-IoT-Malware-Capture-1-1.conn.log.labeled,Malicious,,59041,8080,,,1,0,60,0,0,tcp,,S0,S,1.0,0.0,1.0,0.0,,1,1.0,
CTU-IoT-Malware-Capture-34-1,Mirai,malicious,CTU-IoT-Malware-Capture-34-1.conn.log.labeled,Benign,,123,123,,,1,0,76,0,0,udp,,S0,D,1.0,0.0,1.0,0.0,,1,1.0,
CTU-IoT-Malware-Capture-3-1,Muhstik,malicious,CTU-IoT-Malware-Capture-3-1.conn.log.labeled,Benign,,3,13,,,1,0,56,0,0,icmp,,OTH,,0.0,1.0,0.0,0.0,,1,1.0,
CTU-IoT-Malware-Capture-8-1,Hakai,malicious,CTU-IoT-Malware-Capture-8-1.conn.log.labeled,Malicious,3.142962,47308,50,0.0,0.0,3,0,180,0,0,tcp,,S0,S,1.0,0.0,1.0,0.0,0.0,3,3.0,0.0
CTU-IoT-Malware-Capture-3-1,Muhstik,malicious,CTU-IoT-Malware-Capture-3-1.conn.log.labeled,Benign,0.345101,32959,22,0.0,0.0,1,1,60,40,0,tcp,,REJ,Sr,1.0,0.0,1.0,0.0,0.0,2,0.5,0.0
CTU-IoT-Malware-Capture-60-1,Gagfyt,malicious,CTU-IoT-Malware-Capture-60-1.conn.log.labeled,Malicious,,14347,62336,,,0,0,0,0,0,tcp,,OTH,C,1.0,0.0,1.0,0.0,,0,0.0,
CTU-IoT-Malware-Capture-3-1,Muhstik,malicious,CTU-IoT-Malware-Capture-3-1.conn.log.labeled,Malicious,,60091,59353,,,1,0,60,0,0,tcp,,S0,S,1.0,0.0,1.0,0.0,,1,1.0,
CTU-IoT-Malware-Capture-20-1,Torii,malicious,CTU-IoT-Malware-Capture-20-1.conn.log.labeled,Benign,,123,123,,,1,0,76,0,0,udp,,S0,D,1.0,0.0,1.0,0.0,,1,1.0,
CTU-IoT-Malware-Capture-1-1,Hide-and-Seek,malicious,CTU-IoT-Malware-Capture-1-1.conn.log.labeled,Benign,,43763,1109,,,1,0,40,0,0,udp,,S0,D,1.0,0.0,1.0,0.0,,1,1.0,
CTU-IoT-Malware-Capture-34-1,Mirai,malicious,CTU-IoT-Malware-Capture-34-1.conn.log.labeled,Benign,0.018717,123,123,48.0,48.0,1,1,76,76,0,udp,,SF,Dd,1.0,0.0,1.0,96.0,0.9795918367346939,2,0.5,5128.753071909391
CTU-IoT-Malware-Capture-1-1,Hide-and-Seek,malicious,CTU-IoT-Malware-Capture-1-1.conn.log.labeled,Malicious,,37763,2323,,,1,0,60,0,0,tcp,,S0,S,1.0,0.0,1.0,0.0,,1,1.0,
CTU-IoT-Malware-Capture-20-1,Torii,malicious,CTU-IoT-Malware-Capture-20-1.conn.log.labeled,Benign,0.008244,123,123,48.0,48.0,1,1,76,76,0,udp,,SF,Dd,1.0,0.0,1.0,96.0,0.9795918367346939,2,0.5,11643.42025469982
CTU-Honeypot-Capture-5-1,Amazon-Echo,benign,CTU-Honeypot-Capture-5-1.conn.log.labeled,Benign,,136,135,,,1,0,72,0,0,icmp,,OTH,,1.0,1.0,0.0,0.0,,1,1.0,
CTU-IoT-Malware-Capture-34-1,Mirai,malicious,CTU-IoT-Malware-Capture-34-1.conn.log.labeled,Malicious,,65279,80,,,0,0,0,0,0,tcp,,OTH,C,1.0,0.0,1.0,0.0,,0,0.0,
CTU-IoT-Malware-Capture-8-1,Hakai,malicious,CTU-IoT-Malware-Capture-8-1.conn.log.labeled,Benign,0.004744,123,123,48.0,48.0,1,1,76,76,0,udp,,SF,Dd,1.0,0.0,1.0,96.0,0.9795918367346939,2,0.5,20231.822971548998
CTU-IoT-Malware-Capture-20-1,Torii,malicious,CTU-IoT-Malware-Capture-20-1.conn.log.labeled,Benign,,60398,53,,,1,0,67,0,0,udp,dns,S0,D,1.0,1.0,0.0,0.0,,1,1.0,
CTU-IoT-Malware-Capture-3-1,Muhstik,malicious,CTU-IoT-Malware-Capture-3-1.conn.log.labeled,Malicious,2.993827,36657,22,0.0,0.0,3,0,180,0,0,tcp,,S0,S,1.0,0.0,1.0,0.0,0.0,3,3.0,0.0
CTU-IoT-Malware-Capture-3-1,Muhstik,malicious,CTU-IoT-Malware-Capture-3-1.conn.log.labeled,Malicious,2.996522,37192,22,0.0,0.0,3,0,180,0,0,tcp,,S0,S,1.0,0.0,1.0,0.0,0.0,3,3.0,0.0
CTU-IoT-Malware-Capture-8-1,Hakai,malicious,CTU-IoT-Malware-Capture-8-1.conn.log.labeled,Malicious,,35572,50,,,1,0,60,0,0,tcp,,S0,S,1.0,0.0,1.0,0.0,,1,1.0,
CTU-IoT-Malware-Capture-3-1,Muhstik,malicious,CTU-IoT-Malware-Capture-3-1.conn.log.labeled,Benign,,11,0,,,1,0,96,0,0,icmp,,OTH,,0.0,1.0,0.0,0.0,,1,1.0,
CTU-IoT-Malware-Capture-1-1,Hide-and-Seek,malicious,CTU-IoT-Malware-Capture-1-1.conn.log.labeled,Malicious,2.998799,42198,9527,0.0,0.0,3,0,180,0,0,tcp,,S0,S,1.0,0.0,1.0,0.0,0.0,3,3.0,0.0
CTU-IoT-Malware-Capture-60-1,Gagfyt,malicious,CTU-IoT-Malware-Capture-60-1.conn.log.labeled,Benign,,62336,8000,,,0,0,0,0,0,tcp,,OTH,^c,0.0,1.0,0.0,0.0,,0,0.0,
CTU-IoT-Malware-Capture-34-1,Mirai,malicious,CTU-IoT-Malware-Capture-34-1.conn.log.labeled,Malicious,,65279,80,,,0,0,0,0,0,tcp,,OTH,C,1.0,0.0,1.0,0.0,,0,0.0,
CTU-IoT-Malware-Capture-60-1,Gagfyt,malicious,CTU-IoT-Malware-Capture-60-1.conn.log.labeled,Malicious,,23985,62336,,,0,0,0,0,0,tcp,,OTH,C,1.0,0.0,1.0,0.0,,0,0.0,
CTU-IoT-Malware-Capture-60-1,Gagfyt,malicious,CTU-IoT-Malware-Capture-60-1.conn.log.labeled,Malicious,,31894,62336,,,0,0,0,0,0,tcp,,OTH,C,1.0,0.0,1.0,0.0,,0,0.0,
CTU-IoT-Malware-Capture-60-1,Gagfyt,malicious,CTU-IoT-Malware-Capture-60-1.conn.log.labeled,Benign,,62336,88,,,0,0,0,0,0,tcp,,OTH,^c,0.0,1.0,0.0,0.0,,0,0.0,
CTU-IoT-Malware-Capture-60-1,Gagfyt,malicious,CTU-IoT-Malware-Capture-60-1.conn.log.labeled,Benign,,62336,502,,,0,0,0,0,0,tcp,,OTH,^c,0.0,1.0,0.0,0.0,,0,0.0,
CTU-IoT-Malware-Capture-60-1,Gagfyt,malicious,CTU-IoT-Malware-Capture-60-1.conn.log.labeled,Benign,,62336,6669,,,0,0,0,0,0,tcp,,OTH,^c,0.0,1.0,0.0,0.0,,0,0.0,
CTU-IoT-Malware-Capture-34-1,Mirai,malicious,CTU-IoT-Malware-Capture-34-1.conn.log.labeled,Malicious,,49036,6667,,,1,0,60,0,0,tcp,,S0,S,1.0,0.0,1.0,0.0,,1,1.0,
CTU-IoT-Malware-Capture-3-1,Muhstik,malicious,CTU-IoT-Malware-Capture-3-1.conn.log.labeled,Benign,0.178879,40466,22,0.0,0.0,1,1,60,40,0,tcp,,REJ,Sr,1.0,0.0,1.0,0.0,0.0,2,0.5,0.0
CTU-IoT-Malware-Capture-3-1,Muhstik,malicious,CTU-IoT-Malware-Capture-3-1.conn.log.labeled,Malicious,2.993881,47591,22,0.0,0.0,3,0,180,0,0,tcp,,S0,S,1.0,0.0,1.0,0.0,0.0,3,3.0,0.0
CTU-IoT-Malware-Capture-1-1,Hide-and-Seek,malicious,CTU-IoT-Malware-Capture-1-1.conn.log.labeled,Malicious,2.998797,34121,8080,0.0,0.0,3,0,180,0,0,tcp,,S0,S,1.0,0.0,1.0,0.0,0.0,3,3.0,0.0
CTU-IoT-Malware-Capture-3-1,Muhstik,malicious,CTU-IoT-Malware-Capture-3-1.conn.log.labeled,Malicious,,41037,22,,,1,0,60,0,0,tcp,,S0,S,1.0,0.0,1.0,0.0,,1,1.0,
CTU-IoT-Malware-Capture-60-1,Gagfyt,malicious,CTU-IoT-Malware-Capture-60-1.conn.log.labeled,Malicious,,56189,62336,,,0,0,0,0,0,tcp,,OTH,C,1.0,0.0,1.0,0.0,,0,0.0,
CTU-IoT-Malware-Capture-34-1,Mirai,malicious,CTU-IoT-Malware-Capture-34-1.conn.log.labeled,Malicious,,4722,63798,,,1,0,40,0,0,tcp,,S0,S,1.0,0.0,1.0,0.0,,1,1.0,
CTU-IoT-Malware-Capture-60-1,Gagfyt,malicious,CTU-IoT-Malware-Capture-60-1.conn.log.labeled,Malicious,,62234,62336,,,0,0,0,0,0,tcp,,OTH,C,1.0,0.0,1.0,0.0,,0,0.0,
CTU-IoT-Malware-Capture-8-1,Hakai,malicious,CTU-IoT-Malware-Capture-8-1.conn.log.labeled,Malicious,,45404,50,,,1,0,60,0,0,tcp,,S0,S,1.0,0.0,1.0,0.0,,1,1.0,
CTU-IoT-Malware-Capture-20-1,Torii,malicious,CTU-IoT-Malware-Capture-20-1.conn.log.labeled,Benign,2.502845,57084,53,76.0,0.0,2,0,132,0,0,udp,dns,S0,D,1.0,1.0,0.0,76.0,76.0,2,2.0,30.365431992220053
CTU-IoT-Malware-Capture-20-1,Torii,malicious,CTU-IoT-Malware-Capture-20-1.conn.log.labeled,Benign,0.007745,123,123,48.0,48.0,1,1,76,76,0,udp,,SF,Dd,1.0,0.0,1.0,96.0,0.9795918367346939,2,0.5,12393.493415956622
CTU-IoT-Malware-Capture-3-1,Muhstik,malicious,CTU-IoT-Malware-Capture-3-1.conn.log.labeled,Malicious,2.995002,47866,22,0.0,0.0,3,0,180,0,0,tcp,,S0,S,1.0,0.0,1.0,0.0,0.0,3,3.0,0.0
CTU-IoT-Malware-Capture-60-1,Gagfyt,malicious,CTU-IoT-Malware-Capture-60-1.conn.log.labeled,Malicious,,29460,62336,,,0,0,0,0,0,tcp,,OTH,C,1.0,0.0,1.0,0.0,,0,0.0,
CTU-IoT-Malware-Capture-8-1,Hakai,malicious,CTU-IoT-Malware-Capture-8-1.conn.log.labeled,Benign,0.001742,123,123,48.0,48.0,1,1,76,76,0,udp,,SF,Dd,1.0,0.0,1.0,96.0,0.9795918367346939,2,0.5,55077.45266781411
CTU-Honeypot-Capture-5-1,Amazon-Echo,benign,CTU-Honeypot-Capture-5-1.conn.log.labeled,Benign,0.016974,18170,53,43.0,111.0,1,1,71,139,0,udp,dns,SF,Dd,1.0,1.0,0.0,154.0,0.38392857142857145,2,0.5,9072.164948453608
CTU-IoT-Malware-Capture-8-1,Hakai,malicious,CTU-IoT-Malware-Capture-8-1.conn.log.labeled,Malicious,,45964,50,,,1,0,60,0,0,tcp,,S0,S,1.0,0.0,1.0,0.0,,1,1.0,
CTU-IoT-Malware-Capture-1-1,Hide-and-Seek,malicious,CTU-IoT-Malware-Capture-1-1.conn.log.labeled,Benign,,43763,57596,,,1,0,40,0,0,udp,,S0,D,1.0,0.0,1.0,0.0,,1,1.0,
CTU-IoT-Malware-Capture-8-1,Hakai,malicious,CTU-IoT-Malware-Capture-8-1.conn.log.labeled,Benign,0.001732,123,123,48.0,48.0,1,1,76,76,0,udp,,SF,Dd,1.0,0.0,1.0,96.0,0.9795918367346939,2,0.5,55395.26832083093
CTU-IoT-Malware-Capture-20-1,Torii,malicious,CTU-IoT-Malware-Capture-20-1.conn.log.labeled,Benign,0.002739,123,123,48.0,48.0,1,1,76,76,0,udp,,SF,Dd,1.0,0.0,1.0,96.0,0.9795918367346939,2,0.5,35036.49635036496
CTU-IoT-Malware-Capture-1-1,Hide-and-Seek,malicious,CTU-IoT-Malware-Capture-1-1.conn.log.labeled,Benign,3.124508,3,1,180.0,0.0,3,0,264,0,0,icmp,,OTH,,0.0,1.0,0.0,180.0,180.0,3,3.0,57.60905153417705
CTU-IoT-Malware-Capture-1-1,Hide-and-Seek,malicious,CTU-IoT-Malware-Capture-1-1.conn.log.labeled,Malicious,,54754,2323,,,1,0,60,0,0,tcp,,S0,S,1.0,0.0,1.0,0.0,,1,1.0,
CTU-IoT-Malware-Capture-34-1,Mirai,malicious,CTU-IoT-Malware-Capture-34-1.conn.log.labeled,Malicious,,65279,80,,,0,0,0,0,0,tcp,,OTH,C,1.0,0.0,1.0,0.0,,0,0.0,
CTU-IoT-Malware-Capture-1-1,Hide-and-Seek,malicious,CTU-IoT-Malware-Capture-1-1.conn.log.labeled,Malicious,2.999061,57291,23,0.0,0.0,3,0,180,0,0,tcp,,S0,S,1.0,0.0,1.0,0.0,0.0,3,3.0,0.0
CTU-IoT-Malware-Capture-1-1,Hide-and-Seek,malicious,CTU-IoT-Malware-Capture-1-1.conn.log.labeled,Benign,,43763,4618,,,1,0,40,0,0,udp,,S0,D,1.0,0.0,1.0,0.0,,1,1.0,
CTU-IoT-Malware-Capture-60-1,Gagfyt,malicious,CTU-IoT-Malware-Capture-60-1.conn.log.labeled,Malicious,,59153,62336,,,0,0,0,0,0,tcp,,OTH,C,1.0,0.0,1.0,0.0,,0,0.0,
CTU-IoT-Malware-Capture-34-1,Mirai,malicious,CTU-IoT-Malware-Capture-34-1.conn.log.labeled,Benign,,123,123,,,1,0,76,0,0,udp,,S0,D,1.0,0.0,1.0,0.0,,1,1.0,
CTU-IoT-Malware-Capture-60-1,Gagfyt,malicious,CTU-IoT-Malware-Capture-60-1.conn.log.labeled,Benign,,62336,6669,,,0,0,0,0,0,tcp,,OTH,^c,0.0,1.0,0.0,0.0,,0,0.0,
CTU-IoT-Malware-Capture-8-1,Hakai,malicious,CTU-IoT-Malware-Capture-8-1.conn.log.labeled,Benign,0.001738,123,123,48.0,48.0,1,1,76,76,0,udp,,SF,Dd,1.0,0.0,1.0,96.0,0.9795918367346939,2,0.5,55204.1403105233
CTU-IoT-Malware-Capture-34-1,Mirai,malicious,CTU-IoT-Malware-Capture-34-1.conn.log.labeled,Malicious,,65279,80,,,0,0,0,0,0,tcp,,OTH,C,1.0,0.0,1.0,0.0,,0,0.0,
CTU-IoT-Malware-Capture-20-1,Torii,malicious,CTU-IoT-Malware-Capture-20-1.conn.log.labeled,Benign,0.000482,50173,53,45.0,45.0,1,1,73,73,0,udp,dns,SF,Dd,1.0,1.0,0.0,90.0,0.9782608695652174,2,0.5,186335.40372670806
CTU-IoT-Malware-Capture-20-1,Torii,malicious,CTU-IoT-Malware-Capture-20-1.conn.log.labeled,Benign,0.076954,123,123,48.0,48.0,1,1,76,76,0,udp,,SF,Dd,1.0,0.0,1.0,96.0,0.9795918367346939,2,0.5,1247.4822948476383
CTU-IoT-Malware-Capture-3-1,Muhstik,malicious,CTU-IoT-Malware-Capture-3-1.conn.log.labeled,Malicious,2.903907,35227,22,589.0,2583.0,14,16,1325,3423,0,tcp,ssh,SF,ShAdDaFf,1.0,0.0,1.0,3172.0,0.22794117647058823,30,0.8235294117647058,1092.3211065915311
CTU-IoT-Malware-Capture-60-1,Gagfyt,malicious,CTU-IoT-Malware-Capture-60-1.conn.log.labeled,Benign,,62336,22,,,0,0,0,0,0,tcp,,OTH,^c,0.0,1.0,0.0,0.0,,0,0.0,
CTU-IoT-Malware-Capture-1-1,Hide-and-Seek,malicious,CTU-IoT-Malware-Capture-1-1.conn.log.labeled,Malicious,,45599,8080,,,1,0,60,0,0,tcp,,S0,S,1.0,0.0,1.0,0.0,,1,1.0,
CTU-IoT-Malware-Capture-8-1,Hakai,malicious,CTU-IoT-Malware-Capture-8-1.conn.log.labeled,Malicious,,45532,50,,,1,0,60,0,0,tcp,,S0,S,1.0,0.0,1.0,0.0,,1,1.0,
CTU-IoT-Malware-Capture-3-1,Muhstik,malicious,CTU-IoT-Malware-Capture-3-1.conn.log.labeled,Malicious,,52227,22,,,1,0,60,0,0,tcp,,S0,S,1.0,0.0,1.0,0.0,,1,1.0,
CTU-IoT-Malware-Capture-20-1,Torii,malicious,CTU-IoT-Malware-Capture-20-1.conn.log.labeled,Benign,0.055968,123,123,48.0,48.0,1,1,76,76,0,udp,,SF,Dd,1.0,0.0,1.0,96.0,0.9795918367346939,2,0.5,1715.2352194965072
CTU-IoT-Malware-Capture-1-1,Hide-and-Seek,malicious,CTU-IoT-Malware-Capture-1-1.conn.log.labeled,Benign,,43763,15893,,,1,0,40,0,0,udp,,S0,D,1.0,0.0,1.0,0.0,,1,1.0,
CTU-IoT-Malware-Capture-3-1,Muhstik,malicious,CTU-IoT-Malware-Capture-3-1.conn.log.labeled,Benign,0.009941,123,123,48.0,48.0,1,1,76,76,0,udp,,SF,Dd,1.0,0.0,1.0,96.0,0.9795918367346939,2,0.5,9656.004828002415
CTU-IoT-Malware-Capture-3-1,Muhstik,malicious,CTU-IoT-Malware-Capture-3-1.conn.log.labeled,Benign,0.108048,123,123,48.0,48.0,1,1,76,76,0,udp,,SF,Dd,1.0,0.0,1.0,96.0,0.9795918367346939,2,0.5,888.4857795999962
CTU-IoT-Malware-Capture-34-1,Mirai,malicious,CTU-IoT-Malware-Capture-34-1.conn.log.labeled,Malicious,,56390,6667,,,1,0,60,0,0,tcp,,S0,S,1.0,0.0,1.0,0.0,,1,1.0,
CTU-IoT-Malware-Capture-1-1,Hide-and-Seek,malicious,CTU-IoT-Malware-Capture-1-1.conn.log.labeled,Benign,,43763,48944,,,1,0,40,0,0,udp,,S0,D,1.0,0.0,1.0,0.0,,1,1.0,
CTU-IoT-Malware-Capture-34-1,Mirai,malicious,CTU-IoT-Malware-Capture-34-1.conn.log.labeled,Benign,5.004384,54535,53,78.0,0.0,2,0,134,0,0,udp,dns,S0,D,1.0,1.0,0.0,78.0,78.0,2,2.0,15.586330787899012
CTU-IoT-Malware-Capture-1-1,Hide-and-Seek,malicious,CTU-IoT-Malware-Capture-1-1.conn.log.labeled,Benign,,43763,7215,,,1,0,40,0,0,udp,,S0,D,1.0,0.0,1.0,0.0,,1,1.0,
CTU-IoT-Malware-Capture-60-1,Gagfyt,malicious,CTU-IoT-Malware-Capture-60-1.conn.log.labeled,Malicious,,29335,62336,,,0,0,0,0,0,tcp,,OTH,C,1.0,0.0,1.0,0.0,,0,0.0,
CTU-IoT-Malware-Capture-60-1,Gagfyt,malicious,CTU-IoT-Malware-Capture-60-1.conn.log.labeled,Malicious,,37085,62336,,,0,0,0,0,0,tcp,,OTH,C,1.0,0.0,1.0,0.0,,0,0.0,
CTU-IoT-Malware-Capture-20-1,Torii,malicious,CTU-IoT-Malware-Capture-20-1.conn.log.labeled,Benign,5.005137,40547,53,78.0,0.0,2,0,134,0,0,udp,dns,S0,D,1.0,1.0,0.0,78.0,78.0,2,2.0,15.583985896093173
CTU-IoT-Malware-Capture-8-1,Hakai,malicious,CTU-IoT-Malware-Capture-8-1.conn.log.labeled,Benign,0.00173,123,123,48.0,48.0,1,1,76,76,0,udp,,SF,Dd,1.0,0.0,1.0,96.0,0.9795918367346939,2,0.5,55459.27209705373
CTU-Honeypot-Capture-4-1,Philips-HUE,benign,CTU-Honeypot-Capture-4-1.conn.log.labeled,Benign,0.003497,53396,443,0.0,0.0,4,2,172,92,0,tcp,,SF,ShAFf,1.0,0.0,1.0,0.0,0.0,6,1.3333333333333333,0.0
CTU-IoT-Malware-Capture-34-1,Mirai,malicious,CTU-IoT-Malware-Capture-34-1.conn.log.labeled,Benign,0.002245,123,123,48.0,48.0,1,1,76,76,0,udp,,SF,Dd,1.0,0.0,1.0,96.0,0.9795918367346939,2,0.5,42742.6536064114
